,time,gid,lid,kind,population,type
0,500.08505309695903,77,0,2,virt,100
1,500.29921761581664,23,0,2,virt,100
2,501.5629112978713,101,0,2,virt,100
3,501.58433136471956,19,0,2,virt,100
4,502.6660406478803,31,0,2,virt,100
5,503.4515222905961,32,0,2,virt,100
6,505.3695496297269,89,0,2,virt,100
7,505.4684179342912,41,0,2,virt,100
8,505.7320239443639,32,0,2,virt,100
9,506.4554880979146,46,0,2,virt,100
10,506.9588246528648,46,0,2,virt,100
11,507.1872089809265,102,0,2,virt,100
12,507.5224619351477,75,0,2,virt,100
13,508.0754801834419,112,0,2,virt,100
14,508.20095080986033,0,0,0,v1,100
15,508.4372304543792,21,0,2,virt,100
16,508.54873178154,100,0,2,virt,100
17,508.7841067193621,53,0,2,virt,100
18,509.14007034987515,3,0,0,v1,103
19,509.3231063886953,54,0,2,virt,100
20,509.3270006345112,12,0,0,v1,112
21,509.42043812183266,14,0,0,v1,114
22,509.4797089791312,85,0,2,virt,100
23,510.10638964174814,70,0,2,virt,100
24,510.46637598272,56,0,2,virt,100
25,510.52419907896063,110,0,2,virt,100
26,510.8196442105082,8,0,0,v1,108
27,510.94636839465346,54,0,2,virt,100
28,511.1333677170281,1,0,0,v1,101
29,511.89168514174986,39,0,2,virt,100
30,512.3635331461512,86,0,2,virt,100
31,512.5958598674749,3,0,0,v1,103
32,512.9089595284065,6,0,0,v1,106
33,513.0203333201966,0,0,0,v1,100
34,513.0805299140296,10,0,0,v1,110
35,513.31030767757,85,0,2,virt,100
36,513.3282347171221,5,0,0,v1,105
37,513.8590369059438,13,0,0,v1,113
38,515.5836756908149,14,0,0,v1,114
39,515.8134046420515,12,0,0,v1,112
40,516.1073044741115,9,0,0,v1,109
41,516.2244262362731,4,0,0,v1,104
42,516.3119305121421,96,0,2,virt,100
43,516.5440075073141,102,0,2,virt,100
44,516.7651856190564,3,0,0,v1,103
45,516.7844095681216,37,0,2,virt,100
46,516.9699079702124,54,0,2,virt,100
47,517.0066717100269,66,0,2,virt,100
48,517.5964022822111,58,0,2,virt,100
49,518.1879212618479,45,0,2,virt,100
50,518.5119756669825,5,0,0,v1,105
51,518.9564782384892,92,0,2,virt,100
52,520.1169934846113,51,0,2,virt,100
53,520.240348487819,3,0,0,v1,103
54,520.8917484269227,50,0,2,virt,100
55,521.4309031400421,37,0,2,virt,100
