,time,gid,lid,kind,population,type
0,500.08505309695903,77,0,2,virt,100
1,500.29921761581664,23,0,2,virt,100
2,501.5629112978713,101,0,2,virt,100
3,501.58433136471956,19,0,2,virt,100
4,502.6660406478803,31,0,2,virt,100
5,503.4515222905961,32,0,2,virt,100
6,505.3695496297269,89,0,2,virt,100
7,505.4684179342912,41,0,2,virt,100
8,505.4778477071822,14,0,0,v1,114
9,505.7320239443639,32,0,2,virt,100
10,506.4554880979146,46,0,2,virt,100
11,506.9588246528648,46,0,2,virt,100
12,507.1872089809265,102,0,2,virt,100
13,507.5224619351477,75,0,2,virt,100
14,508.0754801834419,112,0,2,virt,100
15,508.4372304543792,21,0,2,virt,100
16,508.54873178154,100,0,2,virt,100
17,508.66620005995685,1,0,0,v1,101
18,508.7841067193621,53,0,2,virt,100
19,508.96015955752296,3,0,0,v1,103
20,509.1201122094296,12,0,0,v1,112
21,509.1433007670422,0,0,0,v1,100
22,509.3231063886953,54,0,2,virt,100
23,509.45222728503796,14,0,0,v1,114
24,509.4797089791312,85,0,2,virt,100
25,510.10638964174814,70,0,2,virt,100
26,510.2129633511341,8,0,0,v1,108
27,510.46637598272,56,0,2,virt,100
28,510.52419907896063,110,0,2,virt,100
29,510.94636839465346,54,0,2,virt,100
30,511.14502585834816,5,0,0,v1,105
31,511.6071022113205,4,0,0,v1,104
32,511.89168514174986,39,0,2,virt,100
33,511.98173402001845,6,0,0,v1,106
34,512.3635331461512,86,0,2,virt,100
35,512.3665003300708,3,0,0,v1,103
36,512.717539960136,10,0,0,v1,110
37,513.31030767757,85,0,2,virt,100
38,513.3678608493286,1,0,0,v1,101
39,513.6233003709926,13,0,0,v1,113
40,515.0860833283568,5,0,0,v1,105
41,516.2673112779222,0,0,0,v1,100
42,516.3119305121421,96,0,2,virt,100
43,516.3924097404664,3,0,0,v1,103
44,516.5050235195333,12,0,0,v1,112
45,516.5440075073141,102,0,2,virt,100
46,516.7844095681216,37,0,2,virt,100
47,516.9699079702124,54,0,2,virt,100
48,517.0066717100269,66,0,2,virt,100
49,517.5964022822111,58,0,2,virt,100
50,518.1879212618479,45,0,2,virt,100
51,518.9564782384892,92,0,2,virt,100
52,519.4320187304648,14,0,0,v1,114
53,519.5050575065603,3,0,0,v1,103
54,520.1169934846113,51,0,2,virt,100
55,520.7668136006087,8,0,0,v1,108
