node_type_id dynamics_params model_type model_template pop_name model_processing morphology ei
100 478107198_fit.json biophysical ctdb:Biophys1.hoc i1Htr3a aibs_axon Htr3a-Cre_NO152_Ai14-192819.04.02.01_491119743_m.swc i
101 475622793_fit.json biophysical ctdb:Biophys1.hoc i23Htr3a aibs_axon Htr3a-Cre_NO152_Ai14-185553.05.01.01_491119938_m.swc i
102 484635029_fit.json biophysical ctdb:Biophys1.hoc i23Pvalb aibs_axon Pvalb-IRES-Cre_Ai14-201791.05.01.01_496079599_m.swc i
103 473540161_fit.json biophysical ctdb:Biophys1.hoc i23Sst aibs_axon Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc i
104 386049446_fit.json biophysical ctdb:Biophys1.hoc e4Nr5a1 aibs_axon Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e
105 485836906_fit.json biophysical ctdb:Biophys1.hoc e4Rorb aibs_axon Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e
106 469798159_fit.json biophysical ctdb:Biophys1.hoc e4Scnn1a aibs_axon Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e
107 483061182_fit.json biophysical ctdb:Biophys1.hoc e4other aibs_axon Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc e
108 487667205_fit.json biophysical ctdb:Biophys1.hoc i4Pvalb aibs_axon Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i
109 471129934_fit.json biophysical ctdb:Biophys1.hoc e5Rbp4 aibs_axon Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e
110 480351780_fit.json biophysical ctdb:Biophys1.hoc e5noRbp4 aibs_axon Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc e
111 486783119_fit.json biophysical ctdb:Biophys1.hoc i5Pvalb aibs_axon Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc i
112 482690728_fit.json biophysical ctdb:Biophys1.hoc i5Sst aibs_axon Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc i
113 471819401_fit.json biophysical ctdb:Biophys1.hoc e6Ntsr1 aibs_axon Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc e
114 476754635_fit.json biophysical ctdb:Biophys1.hoc i6Sst aibs_axon Sst-IRES-Cre_Ai14-188741.06.02.01_491771387_m.swc i
