node_type_id model_processing dynamics_params model_type morphology model_template ei pop_name
100 aibs_perisomatic 478107198_fit.json biophysical Htr3a-Cre_NO152_Ai14-192819.04.02.01_491119743_m.swc ctdb:Biophys1.hoc i i1Htr3a
101 aibs_perisomatic 475622793_fit.json biophysical Htr3a-Cre_NO152_Ai14-185553.05.01.01_491119938_m.swc ctdb:Biophys1.hoc i i23Htr3a
102 aibs_perisomatic 484635029_fit.json biophysical Pvalb-IRES-Cre_Ai14-201791.05.01.01_496079599_m.swc ctdb:Biophys1.hoc i i23Pvalb
103 aibs_perisomatic 473540161_fit.json biophysical Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc ctdb:Biophys1.hoc i i23Sst
104 aibs_perisomatic 386049446_fit.json biophysical Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc ctdb:Biophys1.hoc e e4Nr5a1
105 aibs_perisomatic 485836906_fit.json biophysical Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc ctdb:Biophys1.hoc e e4Rorb
106 aibs_perisomatic 469798159_fit.json biophysical Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc ctdb:Biophys1.hoc e e4Scnn1a
107 aibs_perisomatic 483061182_fit.json biophysical Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc ctdb:Biophys1.hoc e e4other
108 aibs_perisomatic 487667205_fit.json biophysical Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc ctdb:Biophys1.hoc i i4Pvalb
109 aibs_perisomatic 471129934_fit.json biophysical Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc ctdb:Biophys1.hoc e e5Rbp4
110 aibs_perisomatic 480351780_fit.json biophysical Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc ctdb:Biophys1.hoc e e5noRbp4
111 aibs_perisomatic 486783119_fit.json biophysical Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc ctdb:Biophys1.hoc i i5Pvalb
112 aibs_perisomatic 482690728_fit.json biophysical Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc ctdb:Biophys1.hoc i i5Sst
113 aibs_perisomatic 471819401_fit.json biophysical Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc ctdb:Biophys1.hoc e e6Ntsr1
114 aibs_perisomatic 476754635_fit.json biophysical Sst-IRES-Cre_Ai14-188741.06.02.01_491771387_m.swc ctdb:Biophys1.hoc i i6Sst
