timestamps population node_ids
507.51999999971093 v1 0
1819.1300000165973 v1 13
1847.290000017212 v1 12
1840.79000001707 v1 12
1829.4500000168223 v1 12
1822.4500000166695 v1 12
1815.8400000165257 v1 12
1810.6200000164115 v1 12
1800.650000016194 v1 12
1823.4500000166915 v1 11
1813.1400000164665 v1 11
1844.870000017159 v1 10
1824.9200000167236 v1 10
1816.600000016542 v1 10
1807.2200000163373 v1 10
1818.5600000165848 v1 9
1849.6400000172632 v1 8
1843.2300000171233 v1 8
1831.8200000168745 v1 8
1824.8600000167223 v1 8
1820.1100000166184 v1 8
1813.9100000164833 v1 8
1807.3200000163397 v1 8
1800.0300000161803 v1 8
1819.800000016612 v1 7
1844.00000001714 v1 6
1829.7300000168289 v1 6
1821.5300000166496 v1 6
1801.9600000162225 v1 14
1813.4300000164728 v1 14
1819.210000016599 v1 14
1824.0800000167053 v1 14
1895.400000018262 v1 10
1879.9500000179248 v1 10
1869.7200000177015 v1 10
1858.8700000174647 v1 10
1897.500000018308 v1 8
1885.7200000180508 v1 8
1876.440000017848 v1 8
1868.2400000176692 v1 8
1857.3000000174304 v1 8
1892.8000000182053 v1 6
1881.3600000179556 v1 6
1872.1000000177537 v1 6
1863.7600000175712 v1 6
1814.1900000164896 v1 6
1852.9200000173348 v1 6
1886.4000000180656 v1 4
1870.5100000177188 v1 4
1857.9600000174448 v1 4
1892.5000000181988 v1 3
1886.700000018072 v1 3
1877.0800000178624 v1 3
1869.920000017706 v1 3
1863.0200000175553 v1 3
1856.460000017412 v1 3
1893.2600000182151 v1 2
1869.7800000177028 v1 0
1847.430000017215 v1 14
1834.740000016938 v1 14
1865.2900000176048 v1 5
1803.5200000162563 v1 6
1825.7400000167415 v1 5
1817.700000016566 v1 5
1772.0100000155687 v1 11
1755.6500000152116 v1 11
1795.0800000160723 v1 10
1782.3700000157949 v1 10
1771.980000015568 v1 10
1756.350000015227 v1 10
1775.4800000156445 v1 9
1754.430000015185 v1 9
1788.4900000159284 v1 8
1783.1300000158114 v1 8
1775.690000015649 v1 8
1768.7000000154965 v1 8
1758.7000000152782 v1 8
1751.9500000151309 v1 12
