timestamps population node_ids
507.39999999971104 v1 0
1836.3500000169731 v1 6
1828.4700000168011 v1 6
1821.55000001665 v1 6
1814.6200000164988 v1 6
1805.8400000163072 v1 6
1826.8900000167664 v1 5
1820.8300000166344 v1 5
1815.1000000165093 v1 5
1843.580000017131 v1 4
1832.1000000168804 v1 4
1823.100000016684 v1 4
1814.5500000164973 v1 4
1802.6200000162369 v1 4
1848.9600000172484 v1 3
1846.1800000171877 v1 6
1843.0600000171196 v1 3
1828.4700000168011 v1 3
1822.9900000166815 v1 3
1817.0900000165527 v1 3
1813.570000016476 v1 3
1807.100000016335 v1 3
1800.700000016195 v1 3
1847.8800000172248 v1 2
1824.480000016714 v1 2
1814.6100000164984 v1 2
1823.9800000167031 v1 1
1847.380000017214 v1 0
1824.430000016713 v1 0
1815.680000016522 v1 0
1803.0500000162465 v1 0
1835.8800000169629 v1 3
1819.760000016611 v1 7
1800.02000001618 v1 8
1810.9700000164191 v1 8
1870.0000000177076 v1 3
1862.9300000175533 v1 3
1856.3100000174088 v1 3
1893.9900000182313 v1 2
1892.730000018204 v1 0
1864.840000017595 v1 0
1847.980000017227 v1 14
1831.260000016862 v1 14
1824.0900000167055 v1 14
1818.0400000165737 v1 14
1811.8900000164392 v1 14
1800.5800000161923 v1 14
1820.1500000166195 v1 13
1849.2700000172551 v1 12
1842.9100000171163 v1 12
1832.950000016899 v1 12
1826.490000016758 v1 12
1816.8900000165484 v1 8
1822.970000016681 v1 8
1829.160000016816 v1 8
1840.3500000170604 v1 8
1848.210000017232 v1 8
1810.8100000164156 v1 9
1783.5000000158195 v1 14
1820.450000016626 v1 9
1819.670000016609 v1 11
1828.3200000167976 v1 11
1800.6000000161928 v1 12
1810.2100000164023 v1 12
1815.410000016516 v1 12
1821.5100000166492 v1 12
1811.1800000164235 v1 11
1777.660000015692 v1 14
1768.4200000154904 v1 14
1758.7500000152793 v1 14
1787.0600000158972 v1 3
1781.0200000157654 v1 3
1775.2500000156394 v1 3
1768.9800000155026 v1 3
1764.100000015396 v1 3
1754.110000015178 v1 3
1783.800000015826 v1 2
1753.8100000151717 v1 2
1784.90000001585 v1 0
1770.0200000155253 v1 0
1744.9300000149776 v1 14
1732.180000014699 v1 14
1725.8800000145618 v1 14
1718.2100000143944 v1 14
1710.7800000142322 v1 14
1704.6500000140984 v1 14
1720.1500000144367 v1 13
1707.1600000141532 v1 9
1719.9500000144324 v1 9
1734.2400000147445 v1 9
1703.9100000140822 v1 11
1717.820000014386 v1 11
1731.1800000146775 v1 11
1752.8600000151507 v1 4
1746.41000001501 v1 11
1709.4800000142038 v1 12
1716.64000001436 v1 12
1721.860000014474 v1 12
1729.46000001464 v1 12
1736.700000014798 v1 12
1745.6100000149925 v1 12
1703.120000014065 v1 12
1876.6500000178528 v1 3
1762.5000000153611 v1 4
1781.7100000157805 v1 4
1751.4600000151202 v1 14
1754.800000015193 v1 13
1788.0200000159182 v1 12
1781.370000015773 v1 12
1775.920000015654 v1 12
1768.5700000154936 v1 12
1757.960000015262 v1 12
1751.360000015118 v1 12
1786.8400000158924 v1 11
1771.3200000155537 v1 11
1756.120000015222 v1 11
1786.5200000158854 v1 9
1773.4800000156008 v1 9
1753.330000015161 v1 9
1788.5800000159304 v1 8
1783.1000000158108 v1 8
1776.0000000156558 v1 8
1791.3300000159904 v1 4
1755.9100000152173 v1 5
1773.3600000155982 v1 5
1784.6500000158446 v1 5
1753.470000015164 v1 6
1761.3600000153365 v1 6
1771.9100000155663 v1 4
1770.8200000155427 v1 6
1786.3300000158813 v1 6
1797.9200000161345 v1 6
1772.340000015576 v1 7
1752.180000015136 v1 8
1759.650000015299 v1 8
1769.2100000155076 v1 8
1779.0700000157228 v1 6
1745.6600000149936 v1 8
1886.4000000180656 v1 3
1853.1000000173387 v1 4
1957.4900000196176 v1 4
1996.3800000204665 v1 3
1991.6800000203637 v1 3
1978.380000020073 v1 3
1971.020000019913 v1 3
1965.460000019791 v1 3
1956.8400000196032 v1 3
1951.010000019476 v1 3
1997.2300000204848 v1 2
1996.4800000204684 v1 0
